frame_diff,frame_number,side,Rally,,
1,159,left,0,,
1,160,left,0,,
1,161,left,0,,
1,162,left,0,,
1,163,left,0,,
1,164,left,0,,
1,165,left,0,,
1,166,left,0,,Threshold
77,340,left,0,,30
1,341,left,0,,
1,342,left,0,,
1,343,left,0,,
1,344,left,0,,
1,345,left,0,,
1,347,right,1,,
1,348,right,1,,
1,349,right,1,,
1,350,right,1,,
1,351,right,1,,
1,352,right,1,,
1,353,right,1,,
1,354,right,1,,
1,355,right,1,,
2,357,right,1,,
1,358,right,1,,
1,359,right,1,,
1,360,right,1,,
1,361,right,1,,
1,362,left,2,,
2,364,left,2,,
1,365,left,2,,
1,366,left,2,,
1,367,left,2,,
1,368,left,2,,
1,369,left,2,,
1,370,left,2,,
1,371,left,2,,
1,372,left,2,,
1,373,left,2,,
1,375,right,3,,
1,376,right,3,,
1,377,right,3,,
1,378,right,3,,
1,379,right,3,,
1,380,right,3,,
1,381,right,3,,
1,382,right,3,,
1,384,right,3,,
1,385,right,3,,
1,386,right,3,,
1,387,right,3,,
1,388,left,4,,
1,389,left,4,,
1,390,left,4,,
1,391,left,4,,
1,392,left,4,,
1,393,left,4,,
1,394,left,4,,
1,395,left,4,,
4,400,left,4,,
1,401,left,4,,
3,405,right,5,,
1,406,right,5,,
1,407,right,5,,
1,408,right,5,,
1,409,right,5,,
1,410,right,5,,
1,411,right,5,,
6,418,right,5,,
1,419,right,5,,
4,430,right,5,,
41,471,right,0,,
2,473,right,0,,
2,475,right,0,,
10,485,right,0,,
3,488,right,0,,
1,489,right,0,,
33,522,right,0,,
2,524,right,0,,
1,525,right,0,,
3,528,right,0,,
1,529,right,0,,
1,530,right,0,,
1,531,right,0,,
43,574,right,0,,
9,583,right,0,,
1,584,right,0,,
1,585,right,0,,
1,586,right,0,,
1,587,right,0,,
1,588,right,0,,
1,589,right,0,,
1,590,right,0,,
1,591,right,0,,
1,592,left,1,,
1,593,left,1,,
1,594,left,1,,
1,595,left,1,,
1,596,left,1,,
1,597,left,1,,
1,598,left,1,,
1,599,left,1,,
1,600,left,1,,
1,601,left,1,,
4,605,left,1,,
1,606,left,1,,
1,608,right,2,,
1,609,right,2,,
1,610,right,2,,
1,611,right,2,,
1,612,right,2,,
1,613,right,2,,
2,615,right,2,,
1,616,right,2,,
2,618,right,2,,
2,620,left,3,,
1,621,left,3,,
1,622,left,3,,
1,623,left,3,,
2,625,left,3,,
4,629,left,3,,
2,632,right,4,,
1,633,right,4,,
1,634,right,4,,
1,635,right,4,,
1,636,right,4,,
1,637,right,4,,
1,638,right,4,,
3,642,right,4,,
1,643,right,4,,
1,644,right,4,,
1,645,left,5,,
1,646,left,5,,
1,647,left,5,,
1,648,left,5,,
1,649,left,5,,
1,650,left,5,,
1,651,left,5,,
1,652,left,5,,
1,653,left,5,,
1,654,left,5,,
1,655,left,5,,
1,656,left,5,,
1,657,left,5,,
1,659,right,6,,
1,660,right,6,,
1,661,right,6,,
1,662,right,6,,
1,663,right,6,,
1,664,right,6,,
1,665,right,6,,
1,666,right,6,,
1,667,right,6,,
1,668,right,6,,
1,669,right,6,,
3,672,right,6,,
1,673,right,6,,
1,674,right,6,,
1,675,right,6,,
2,677,left,7,,
1,678,left,7,,
1,679,left,7,,
1,680,left,7,,
2,682,left,7,,
4,686,left,7,,
1,687,left,7,,
1,689,right,8,,
1,690,right,8,,
1,691,right,8,,
1,692,right,8,,
1,693,right,8,,
1,694,right,8,,
1,695,right,8,,
1,696,right,8,,
1,697,right,8,,
3,700,right,8,,
1,701,right,8,,
1,702,right,8,,
3,705,left,9,,
1,706,left,9,,
2,709,right,10,,
1,716,right,10,,
1,717,right,10,,
1,718,right,10,,
1,719,right,10,,
1,720,right,10,,
1,721,right,10,,
1,722,right,10,,
3,725,right,10,,
3,728,right,10,,
1,729,right,10,,
2,731,left,11,,
1,732,left,11,,
1,733,left,11,,
2,735,left,11,,
3,739,left,11,,
1,740,left,11,,
1,742,right,12,,
1,743,right,12,,
1,744,right,12,,
1,745,right,12,,
1,746,right,12,,
1,747,right,12,,
2,749,right,12,,
3,752,right,12,,
1,753,right,12,,
1,754,left,13,,
1,755,left,13,,
1,756,left,13,,
1,757,left,13,,
1,758,left,13,,
1,759,left,13,,
1,760,left,13,,
4,766,left,13,,
1,767,left,13,,
1,768,left,13,,
1,770,right,14,,
1,771,right,14,,
1,772,right,14,,
1,773,right,14,,
1,774,right,14,,
1,775,right,14,,
2,777,right,14,,
2,779,right,14,,
1,780,right,14,,
1,781,left,15,,
1,782,left,15,,
1,783,left,15,,
1,784,left,15,,
1,785,left,15,,
1,786,left,15,,
1,787,left,15,,
1,788,left,15,,
2,790,left,15,,
1,791,left,15,,
1,792,left,15,,
1,793,left,15,,
1,794,left,15,,
1,795,left,15,,
1,797,right,16,,
1,798,right,16,,
1,799,right,16,,
1,800,right,16,,
1,801,right,16,,
59,862,left,0,,
1,863,left,0,,
1,864,left,0,,
1,865,left,0,,
1,866,left,0,,
1,867,left,0,,
1,868,left,0,,
1,870,right,,,
1,871,right,,,
1,872,right,,,
1,873,right,,,
1,874,right,,,
1,875,right,,,
1,876,right,,,
1,877,right,,,
2,879,right,,,
1,880,right,,,
1,881,right,,,
1,882,right,,,
1,883,right,,,
23,910,right,,,
544,1454,left,,,
1,1455,left,,,
1,1456,left,,,
1,1457,left,,,
1,1458,left,,,
1,1459,left,,,
1,1460,left,,,
1,1461,left,,,
1,1463,right,,,
1,1464,right,,,
1,1465,right,,,
1,1466,right,,,
1,1467,right,,,
1,1468,right,,,
1,1469,right,,,
1,1470,right,,,
1,1471,right,,,
2,1473,right,,,
1,1474,right,,,
1,1475,right,,,
2,1477,right,,,
1,1478,right,,,
1,1479,left,,,
1,1480,left,,,
1,1481,left,,,
1,1482,left,,,
1,1483,left,,,
1,1484,left,,,
1,1485,left,,,
4,1489,left,,,
1,1490,left,,,
1,1491,left,,,
1,1493,right,,,
1,1494,right,,,
1,1495,right,,,
1,1496,right,,,
1,1497,right,,,
1,1498,right,,,
1,1499,right,,,
1,1500,right,,,
1,1501,right,,,
1,1502,right,,,
1,1503,right,,,
1,1504,right,,,
1,1505,left,,,
1,1506,left,,,
1,1507,left,,,
1,1508,left,,,
1,1509,left,,,
1,1510,left,,,
1,1511,left,,,
1,1512,left,,,
2,1518,right,,,
1,1519,right,,,
1,1520,right,,,
1,1521,right,,,
1,1522,right,,,
1,1523,right,,,
1,1524,right,,,
1,1525,right,,,
1,1526,right,,,
1,1527,right,,,
3,1530,right,,,
3,1533,right,,,
1,1534,right,,,
2,1543,left,,,
2,1545,left,,,
1,1547,right,,,
1,1548,right,,,
1,1549,right,,,
1,1550,right,,,
1,1551,right,,,
1,1552,right,,,
1,1553,right,,,
1,1554,right,,,
1,1555,right,,,
2,1557,right,,,
1,1558,right,,,
3,1561,right,,,
1,1562,left,,,
1,1563,left,,,
1,1564,left,,,
1,1565,left,,,
2,1567,left,,,
1,1568,left,,,
1,1569,left,,,
2,1572,left,,,
3,1575,left,,,
1,1576,left,,,
2,1579,right,,,
1,1580,right,,,
1,1581,right,,,
1,1582,right,,,
1,1583,right,,,
4,1587,right,,,
1,1588,right,,,
1,1589,right,,,
1,1590,left,,,
1,1591,left,,,
1,1592,left,,,
1,1593,left,,,
1,1594,left,,,
1,1595,left,,,
1,1596,left,,,
1,1597,left,,,
3,1601,left,,,
1,1602,left,,,
1,1603,left,,,
1,1604,left,,,
1,1605,left,,,
1,1607,right,,,
1,1608,right,,,
1,1609,right,,,
1,1610,right,,,
1,1611,right,,,
1,1612,right,,,
